code,state,year,count
NC,North Carolina,2007,360998
NC,North Carolina,2008,5636
NC,North Carolina,2010,761463
NC,North Carolina,2011,1323592
NC,North Carolina,2012,2536332
NC,North Carolina,2013,513502
NC,North Carolina,2014,1379067
NC,North Carolina,2015,1768478
NC,North Carolina,2016,227337
ND,North Dakota,2006,78248
ND,North Dakota,2007,44025
ND,North Dakota,2008,294
ND,North Dakota,2009,31935
ND,North Dakota,2010,43856
ND,North Dakota,2011,43521
ND,North Dakota,2012,125146
ND,North Dakota,2013,27112
ND,North Dakota,2014,83851
ND,North Dakota,2015,73806
ND,North Dakota,2016,19148
OH,Ohio,2006,1935677
OH,Ohio,2007,1109269
OH,Ohio,2008,3394
OH,Ohio,2009,779601
OH,Ohio,2010,1183350
OH,Ohio,2011,1286827
OH,Ohio,2012,2622607
OH,Ohio,2013,470014
OH,Ohio,2014,1415298
OH,Ohio,2015,1424583
OH,Ohio,2016,388352
OK,Oklahoma,2006,660256
OK,Oklahoma,2007,284422
OK,Oklahoma,2008,6483
OK,Oklahoma,2009,325035
OK,Oklahoma,2010,425505
OK,Oklahoma,2011,323165
OK,Oklahoma,2012,547878
OK,Oklahoma,2013,75286
OK,Oklahoma,2014,312142
OK,Oklahoma,2015,355269
OK,Oklahoma,2016,84087
OR,Oregon,2006,473362
OR,Oregon,2007,282864
OR,Oregon,2008,8805
OR,Oregon,2009,264911
OR,Oregon,2010,187950
OR,Oregon,2011,366467
OR,Oregon,2012,751781
OR,Oregon,2013,158006
OR,Oregon,2014,437140
OR,Oregon,2015,442695
OR,Oregon,2016,113790
PA,Pennsylvania,2006,2310027
PA,Pennsylvania,2007,1157474
PA,Pennsylvania,2008,24281
PA,Pennsylvania,2009,1129245
PA,Pennsylvania,2010,1252071
PA,Pennsylvania,2011,1380314
PA,Pennsylvania,2012,2978223
PA,Pennsylvania,2013,494681
PA,Pennsylvania,2014,1375633
PA,Pennsylvania,2015,1398742
PA,Pennsylvania,2016,416524
RI,Rhode Island,2006,168399
RI,Rhode Island,2007,81256
RI,Rhode Island,2008,2433
RI,Rhode Island,2009,96614
RI,Rhode Island,2010,92422
RI,Rhode Island,2011,111937
RI,Rhode Island,2012,228538
RI,Rhode Island,2013,39455
RI,Rhode Island,2014,114940
RI,Rhode Island,2015,123287
RI,Rhode Island,2016,22811
SC,South Carolina,2006,1295235
SC,South Carolina,2007,746460
SC,South Carolina,2008,24353
SC,South Carolina,2009,662440
SC,South Carolina,2010,751324
SC,South Carolina,2011,776075
SC,South Carolina,2012,1442650
SC,South Carolina,2013,265039
SC,South Carolina,2014,752141
SC,South Carolina,2015,758730
SC,South Carolina,2016,216529
SD,South Dakota,2006,138387
SD,South Dakota,2007,79624
SD,South Dakota,2008,2091
SD,South Dakota,2009,74642
SD,South Dakota,2010,56848
SD,South Dakota,2011,86266
SD,South Dakota,2012,189551
SD,South Dakota,2013,27997
SD,South Dakota,2014,80021
SD,South Dakota,2015,87340
SD,South Dakota,2016,21221
TN,Tennessee,2006,1419402
TN,Tennessee,2007,777924
TN,Tennessee,2008,25050
TN,Tennessee,2009,831164
TN,Tennessee,2010,744176
TN,Tennessee,2011,798773
TN,Tennessee,2012,1586456
TN,Tennessee,2013,241760
TN,Tennessee,2014,765353
TN,Tennessee,2015,674765
TN,Tennessee,2016,169647
TX,Texas,2006,3916287
TX,Texas,2007,2685560
TX,Texas,2008,32203
TX,Texas,2009,2589134
TX,Texas,2010,2926829
TX,Texas,2011,3243617
TX,Texas,2012,6544137
TX,Texas,2013,1094485
TX,Texas,2014,3269446
TX,Texas,2015,3683624
TX,Texas,2016,1001191
UT,Utah,2006,253183
UT,Utah,2007,156161
UT,Utah,2008,3546
UT,Utah,2009,109603
UT,Utah,2010,155779
UT,Utah,2011,170212
UT,Utah,2012,361588
UT,Utah,2013,71528
UT,Utah,2014,207928
UT,Utah,2015,216792
UT,Utah,2016,63153
VT,Vermont,2006,52924
VT,Vermont,2007,16294
VT,Vermont,2008,709
VT,Vermont,2009,31813
VT,Vermont,2010,33531
VT,Vermont,2011,40003
VT,Vermont,2012,85377
VT,Vermont,2013,17334
VT,Vermont,2014,49357
VT,Vermont,2015,37392
