,P-Africa,R-Africa,P-Asia,R-Asia,P-Europe,R-Europe,P-North America,R-North America,P-Oceania,R-Oceania,P-South America,R-South America
42201,,,,,0.6597,89.0,0.1531,92,,,,
42202,,,,,0.7579,89.0,0.6111,92,,,,
42203,,,,,0.7964,89.0,0.8442,92,,,,
42204,,,,,0.7469,89.0,0.765,92,,,,
42205,,,,,0.7964,89.0,0.9746,91,,,,
42206,,,,,0.5719,89.0,0.5859,91,,,,
42207,,,,,0.8176,89.0,0.8201,91,,,,
42208,,,,,0.4588,87.0,0.1431,91,,,,
42209,,,,,0.4404,87.0,0.8573,91,,,,
42210,,,,,0.4019,87.0,0.1531,91,,,,
42211,,,,,0.204,87.0,0.9246,91,,,,
42212,,,,,0.4019,87.0,0.4497,91,,,,
42213,,,,,0.91,87.0,0.796,91,,,,
42214,,,,,0.8442,87.0,0.6908,91,,,,
42215,,,,,0.5859,87.0,0.743,91,,,,
42216,,,,,0.6124,87.0,0.5106,91,,,,
42217,,,,,0.8555,87.0,0.8537,91,,,,
42218,,,,,0.0258,87.0,0.5574,92,,,,
42219,,,,,0.34,87.0,0.4404,92,,,,
42220,,,,,0.8176,87.0,0.4404,92,,,,
42221,,,,,0.7717,87.0,0.6486,92,,,,
42222,,,,,0.3612,87.0,0.9224,92,,,,
42223,,,,,0.34,87.0,0.4939,92,,,,
42224,,,,,0.5994,92.0,0.8442,92,,,,
42225,,,,,0.7783,92.0,0.6124,92,,,,
42226,,,,,0.7964,92.0,0.0,92,,,,
42227,,,,,0.7003,92.0,0.3182,92,,,,
42228,,,,,0.9571,92.0,0.7579,91,,,,
42229,,,,,0.967,92.0,0.2023,91,,,,
42230,,,,,0.9531,92.0,0.7734,91,,,,
42231,,,,,0.8176,92.0,-0.2617,87,,,,
42232,,,,,0.8519,92.0,0.4588,87,,,,
42233,,,,,0.9413,92.0,0.7722,87,,,,
42234,,,,,0.9408,92.0,0.7902,87,,,,
42235,,,,,0.872,92.0,0.0,87,,,,
42236,,,,,0.7346,92.0,0.7906,87,,,,
42237,,,,,0.8394,92.0,0.2263,87,,,,
42238,,,,,0.8981,92.0,0.0,87,,,,
42239,,,,,0.9485,91.0,0.5927,87,,,,
42240,,,,,0.7501,91.0,-0.2153,86,,,,
42241,,,,,0.5106,87.0,0.7284,86,,,,
42242,,,,,0.872,87.0,0.0,86,,,,
42243,,,,,0.4404,87.0,0.0,86,,,,
42244,,,,,0.8625,87.0,0.5859,86,,,,
42245,,,,,0.7579,87.0,0.9477,86,,,,
42246,,,,,0.4404,87.0,0.5574,85,,,,
42247,,,,,0.5574,87.0,0.7615,89,,,,
42248,,,,,0.8225,87.0,0.4404,89,,,,
42249,,,,,0.9337,87.0,-0.3875,89,,,,
42250,,,,,0.6908,87.0,0.0,89,,,,
42251,,,,,0.7096,87.0,0.0,89,,,,
42252,,,,,-0.296,87.0,0.9022,89,,,,
42253,,,,,0.5209,91.0,-0.3182,86,,,,
42254,,,,,0.0258,91.0,0.7978,86,,,,
42255,,,,,0.5719,91.0,0.8442,86,,,,
42256,,,,,0.5106,91.0,0.5423,86,,,,
42257,,,,,0.8779,91.0,0.4588,86,,,,
42258,,,,,0.3612,91.0,0.6428,86,,,,
42259,,,,,0.9062,91.0,0.6652,86,,,,
42260,,,,,0.8655,91.0,0.4118,86,,,,
42261,,,,,0.128,91.0,-0.09,86,,,,
42262,,,,,0.8591,91.0,0.6858,86,,,,
42263,,,,,0.8519,94.0,-0.2111,86,,,,
42264,,,,,0.765,93.0,-0.3182,86,,,,
42265,,,,,0.8616,93.0,0.6808,86,,,,
42266,,,,,0.7597,93.0,0.0,83,,,,
42267,,,,,0.8807,93.0,0.0,83,,,,
42268,,,,,0.6169,93.0,0.3506,83,,,,
42269,,,,,0.9081,88.0,0.5095,83,,,,
42270,,,,,0.8225,88.0,0.0,83,,,,
42271,,,,,0.5106,88.0,0.6115,83,,,,
42272,,,,,0.0,88.0,-0.4019,83,,,,
42273,,,,,0.128,88.0,0.0,82,,,,
42274,,,,,0.8126,88.0,-0.1027,82,,,,
42275,,,,,0.4404,88.0,0.6997,82,,,,
