,polarity,points-category
393,0.765,80-84
394,0.0,80-84
395,0.0,80-84
396,0.4404,80-84
397,0.0,80-84
398,-0.1027,80-84
399,0.0,80-84
400,-0.25,80-84
401,0.0,80-84
402,0.1027,80-84
403,0.2732,80-84
404,-0.3626,80-84
405,0.0,80-84
406,0.3818,80-84
407,-0.3626,80-84
408,0.1868,80-84
409,0.2732,80-84
410,0.765,80-84
411,0.5719,80-84
412,0.1531,80-84
413,-0.3182,80-84
414,0.0,80-84
415,-0.2263,80-84
416,0.0,80-84
417,0.1779,80-84
418,0.128,80-84
419,0.3182,80-84
420,0.7255,80-84
421,-0.7692,80-84
422,0.8859999999999999,80-84
423,0.2263,80-84
424,0.0,80-84
425,0.3818,80-84
426,0.0,80-84
427,0.5574,80-84
428,0.0,80-84
429,0.0,80-84
430,0.4939,80-84
431,0.9666,80-84
432,0.4939,80-84
433,0.4033,80-84
434,0.5106,80-84
435,-0.3182,80-84
436,-0.431,80-84
437,0.4588,80-84
438,-0.6124,80-84
439,0.0,80-84
440,0.9169,80-84
441,0.4854,80-84
442,0.0,80-84
443,0.8442,80-84
444,0.0,80-84
445,-0.2263,80-84
446,0.8504,80-84
447,0.9319,80-84
448,0.0,80-84
449,0.1655,80-84
450,-0.0516,80-84
451,-0.4019,80-84
452,0.0,80-84
453,0.2023,80-84
454,-0.6008,80-84
455,0.0,80-84
456,0.0,80-84
457,-0.3634,80-84
458,0.4939,80-84
459,0.431,80-84
460,0.0,80-84
461,0.8439,80-84
462,0.4404,80-84
463,-0.128,80-84
464,0.7269,80-84
465,0.0,80-84
466,0.0,80-84
467,0.0,80-84
468,-0.1531,80-84
469,0.8558,80-84
470,-0.1548,80-84
471,0.0,80-84
472,-0.4215,80-84
473,0.0724,80-84
474,-0.128,80-84
475,-0.3182,80-84
476,0.5267,80-84
477,-0.128,80-84
478,0.34,80-84
479,-0.3291,80-84
480,-0.3412,80-84
481,0.5719,80-84
482,0.764,80-84
483,0.128,80-84
484,-0.3182,80-84
485,0.29600000000000004,80-84
486,-0.3182,80-84
487,0.6597,80-84
488,0.3832,80-84
489,0.0,80-84
490,0.0,80-84
491,0.34,80-84
492,0.5878,80-84
493,0.0,80-84
494,0.0516,80-84
495,0.6378,80-84
496,-0.34,80-84
497,0.0,80-84
498,0.9312,80-84
499,0.7351,80-84
500,0.3612,80-84
501,-0.3626,80-84
502,-0.4897,80-84
503,0.0,80-84
504,-0.4939,80-84
505,-0.4215,80-84
506,0.5994,80-84
507,-0.3626,80-84
508,0.0,80-84
509,0.2732,80-84
510,-0.5099,80-84
511,0.4019,80-84
512,-0.29600000000000004,80-84
513,0.0,80-84
514,0.0,80-84
515,0.0,80-84
516,0.4019,80-84
517,0.1779,80-84
518,0.4939,80-84
519,0.8294,80-84
520,0.3182,80-84
521,0.2548,80-84
522,0.4404,80-84
523,-0.3182,80-84
524,0.1531,80-84
525,-0.4767,80-84
526,0.965,80-84
