State,Cases_2010,Cases_2011,Cases_2012,Cases_2013,Cases_2014,Cases_2015,Cases_2016,Cases_2017,TotalByState,Rate_2010,Rate_2011,Rate_2012,Rate_2013,Rate_2014,Rate_2015,Rate_2016,Rate_2017
KENTUCKY,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,7.0,0.00032389132049577996,0.00032389132049577996,0.0006477826409915599,0.0,0.00032389132049577996,0.0,0.0,0.0006477826409915599
LOUISIANA,6.0,4.0,20.0,4.0,54.0,7.0,20.0,11.0,126.0,0.0019433479229746795,0.0012955652819831198,0.006477826409915599,0.0012955652819831198,0.017490131306772117,0.00226723924347046,0.006477826409915599,0.0035628045254535792
MAINE,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0025911305639662397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARYLAND,6.0,9.0,5.0,0.0,1.0,15.0,3.0,2.0,41.0,0.0019433479229746795,0.0029150218844620195,0.0016194566024788997,0.0,0.00032389132049577996,0.004858369807436699,0.0009716739614873398,0.0006477826409915599
MASSACHUSETTS,1.0,1.0,1.0,0.0,1.0,3.0,6.0,1.0,14.0,0.00032389132049577996,0.00032389132049577996,0.00032389132049577996,0.0,0.00032389132049577996,0.0009716739614873398,0.0019433479229746795,0.00032389132049577996
MICHIGAN,4.0,1.0,12.0,0.0,0.0,2.0,1.0,8.0,28.0,0.0012955652819831198,0.00032389132049577996,0.003886695845949359,0.0,0.0,0.0006477826409915599,0.00032389132049577996,0.0025911305639662397
MINNESOTA,4.0,1.0,48.0,1.0,15.0,4.0,55.0,14.0,142.0,0.0012955652819831198,0.00032389132049577996,0.015546783383797436,0.00032389132049577996,0.004858369807436699,0.0012955652819831198,0.017814022627267896,0.00453447848694092
MISSISSIPPI,6.0,22.0,18.0,4.0,17.0,13.0,15.0,17.0,112.0,0.0019433479229746795,0.0071256090509071585,0.005830043768924039,0.0012955652819831198,0.005506152448428258,0.004210587166445139,0.004858369807436699,0.005506152448428258
MISSOURI,41.0,4.0,5.0,0.0,1.0,11.0,2.0,1.0,65.0,0.013279544140326976,0.0012955652819831198,0.0016194566024788997,0.0,0.00032389132049577996,0.0035628045254535792,0.0006477826409915599,0.00032389132049577996
MONTANA,0.0,0.0,28.0,0.0,2.0,1.0,3.0,8.0,42.0,0.0,0.0,0.00906895697388184,0.0,0.0006477826409915599,0.00032389132049577996,0.0009716739614873398,0.0025911305639662397
NEBRASKA,27.0,15.0,168.0,4.0,99.0,51.0,60.0,48.0,472.0,0.008745065653386059,0.004858369807436699,0.05441374184329103,0.0012955652819831198,0.03206524072908221,0.016518457345284777,0.019433479229746795,0.015546783383797436
NEVADA,2.0,4.0,3.0,0.0,0.0,3.0,3.0,29.0,44.0,0.0006477826409915599,0.0012955652819831198,0.0009716739614873398,0.0,0.0,0.0009716739614873398,0.0009716739614873398,0.009392848294377617
NEW HAMPSHIRE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0009716739614873398,0.0,0.0,0.0,0.0,0.0,0.0,0.00032389132049577996
NEW JERSEY,15.0,5.0,2.0,0.0,2.0,3.0,0.0,2.0,29.0,0.004858369807436699,0.0016194566024788997,0.0006477826409915599,0.0,0.0006477826409915599,0.0009716739614873398,0.0,0.0006477826409915599
NEW MEXICO,4.0,0.0,14.0,0.0,5.0,2.0,0.0,10.0,35.0,0.0012955652819831198,0.0,0.00453447848694092,0.0,0.0016194566024788997,0.0006477826409915599,0.0,0.0032389132049577994
NEW YORK,0.0,0.0,0.0,0.0,9.0,15.0,14.0,35.0,73.0,0.0,0.0,0.0,0.0,0.0029150218844620195,0.004858369807436699,0.00453447848694092,0.011336196217352297
